B,P,C,X,N,Time
5,1,1,0,1,10.46
5,1,5,0,1,10.5
5,5,1,0,1,2.12
5,5,5,0,1,2.13
10,1,1,0,1,10.46
10,1,5,0,1,10.47
10,1,10,0,1,10.46
10,5,1,0,1,2.12
10,5,5,0,1,2.13
10,5,10,0,1,2.13
10,10,1,0,1,1.09
10,10,5,0,1,1.09
10,10,10,0,1,1.09
5,1,1,200,1,10.65
5,1,5,200,1,10.65
5,5,1,200,1,10.25
5,5,5,200,1,2.32
10,1,1,200,1,10.66
10,1,5,200,1,10.65
10,1,10,200,1,10.65
10,5,1,200,1,10.25
10,5,5,200,1,2.32
10,5,10,200,1,2.32
10,10,1,200,1,10.25
10,10,5,200,1,2.25
10,10,10,200,1,1.28
5,1,1,400,1,20.25
5,1,5,400,1,10.85
5,5,1,400,1,20.25
5,5,5,400,1,4.24
10,1,1,400,1,20.25
10,1,5,400,1,10.85
10,1,10,400,1,10.85
10,5,1,400,1,20.25
10,5,5,400,1,4.24
10,5,10,400,1,2.52
10,10,1,400,1,20.25
10,10,5,400,1,4.25
10,10,10,400,1,2.25